admin,test,test,2025-01-14
admin,test,wiadomość testowa,2025-01-14
test,Czesiu,wiadomość testowa2,2025-01-15
test,Ewa,wiadomość testowa 2,2025-01-15
admin,admin,testowa masowa,2025-01-15
admin,test,testowa masowa,2025-01-15
admin,Heniek,testowa masowa,2025-01-15
admin,Czesiu,testowa masowa,2025-01-15
admin,Ewa,testowa masowa,2025-01-15
admin,admin,wysyłka masowa 2,2025-01-15
admin,test,wysyłka masowa 2,2025-01-15
admin,Heniek,wysyłka masowa 2,2025-01-15
admin,Czesiu,wysyłka masowa 2,2025-01-15
admin,Ewa,wysyłka masowa 2,2025-01-15
admin,test,wiadomość masowa 4,2025-01-15
admin,Heniek,wiadomość masowa 4,2025-01-15
admin,Czesiu,wiadomość masowa 4,2025-01-15
admin,Ewa,wiadomość masowa 4,2025-01-15
admin,test,testLast,2025-01-18
